id	text	label
1	Here and there over the grass stood beautiful flowers like stars, and there were twelve peach-trees that in the spring- time broke out into delicate blossoms of pink and pearl, and in the autumn bore rich fruit. 	Joy
2	他顿时感到一阵巨大的恐惧，他跟织工说：“你在织什么样的长袍？”	Fear
3	那天下午孩子们跑进来时，发现巨人躺在那棵树下死了，身上盖满了白色的鲜花。	Sadness
4	黑人们彼此交谈着，开始为一串明晃晃的珠子争吵起来。	Anger
5	And when the children ran in that afternoon, they found the Giant lying dead under the tree, all covered with white blossoms.	Sadness
6	But the Catherine Wheel shook her head.	Sadness
7	快乐王子的眼睛里唸满了泪水，泪水正顺着他那金脸颊往下流呢。	Sadness
8	“你是谁？”巨人问道，一种莫名的恐惧传遍他全身，他在小男孩儿面前跪下了。	Fear
9	The climate in the north of Europe is really dreadful.	Fear
10	“哎呀！我的儿，”她哭叫道，“我走之前你不吻我吗？	Sadness
11	一尊用青铜铸就的那喀索斯国雕像笑容满面，将一面打磨得亮提提的镜子举过头顶。	Joy
12	The Prince and Princess were leading the dance.	Joy
13	It is not comfortable here, he remarked, "but no doubt it is some fashionable watering-place, and they have sent me away to recruit my health.	Sadness
14	It is quite evident that you have always lived in the country, answered the Rocket, "otherwise you would know who I am.	Anger
15	But the Roman Candle and the Bengal Light were quite indignant, and kept saying, "Humbug! humbug!" at the top of their voices.	Anger
16	My nerves are certainly very much shattered, and I require rest."	Fear
17	Terribly cold it certainly was.	Fear
18	Surely Love is a wonderful thing.	Love
19	Quite dead, whispered the Catherine Wheel, and she went off to sleep.	Sadness
20	可是守城的士兵把手里的矛枪往城门口一横,对他粗鲁地说：“你到城里有什么事？”	Anger
21	It was really only a little linnet singing outside his window, but it was so long since he had heard a bird sing in his garden that it seemed to him to be the most beautiful music in the world.	Joy
22	'Thou art mad to say so,' cried the Star–Child angrily. 	Anger
23	He was dressed in grey, and his breath was like ice.	Sadness
24	Every afternoon, when school was over, the children came and played with the Giant.	Joy
25	“我有许多美丽的花儿，”他说，“可是孩子们才是所有花中最美丽的花朵啊。”	Joy
26	星孩跟他说：“我口袋里只有一块黄金，可我要是不把它带给我的主人，那他就会打我，把我当奴隶养。”	Fear
27	The Prince and Princess would never be happy again, their whole married life would be spoiled; and as for the King, I know he would not get over it.	Sadness
28	乞丐在城市里行乞，和狗一样捡食吃。	Sadness
29	I am a great favourite at Court; in fact, the Prince and Princess were married yesterday in my honour.	Joy
30	“喟啾！喟啾！喟啾！”绿红雀叽叽咕咕地唠叨着，“这大地老人冻死了，他们给她穿戴了一身白衣服准备入殓下葬了。	Sadness
31	星孩对他说：“我没有带来。”	Sadness
32	到了第三天，魔术师又来找他，说：“今天你要是给我把那块红金子帯来，我就给你自由，但要是你带不来，看我不把你杀了。”	Fear
33	Hallo! he cried, "what a bad rocket!" and he threw him over the wall into the ditch.	Anger
34	“我们的老板！”织工恶狠狠地大声说。	Anger
35	My mother was the most celebrated Catherine Wheel of her day, and was renowned for her graceful dancing.	Love
36	Therefore I pray thee come with me, for over the whole world have I wandered in search of thee.	Love
37	He did, though, for he was of a kindly disposition, and he made a most brilliant descent in a shower of golden rain.	Joy
38	Downstairs ran the Giant in great joy, and out into the garden. 	Joy
39	Well, really, exclaimed a small Fire-balloon, why not? It is a most joyful occasion.	Joy
40	It's quite clear that they love each other, said the little Page, "as clear as crystal!" and the King doubled his salary a second time.	Joy
41	He had bright beady eyes and stiff grey whiskers and his tail was like a long bit of black india-rubber.	Love
42	“我要一直跟你在一起。”燕子说,随后就在王子脚边睡着了。	Love
43	You are a very irritating person," said the Rocket, "and very illbred.	Anger
44	后来，潜水者最后一次从水中上来,他带上来的那颗珍珠比所有的霍尔木兹回的珍珠还漂亮，它像满月那样有模有样,比晨星还耀眼。	Joy
45	他们只好到大路上玩耍，可是路上灰尘太多，而且到处都是粗糙的石头，他们一点也不喜欢在路上玩。	Sadness
46	There cometh a bitter wind into the house, and I am cold.	Fear
47	他到处寻找，却总找不到魔术师说的那块白金，找啊找啊，从早上找到中午，从中午找到夕阳西下。	Sadness
48	有一次他们陷进了深雪坑,挣脱出来就像正在磨面的磨工那样子白了；有一次他们滑进了池水结冰的光滑冰面上，他们的柴火摔散了捆，他们只好把柴火捡起来，重捆在一起；又有一次他们以为迷了路，心下害怕得要命，因为他们知道雪对任何睡在它们怀里的人都毫不留情。	Fear
49	“呜呜呜！”狼嗥叫着，两条后腿夹着尾巴慢吞吞地在灌木丛里穿行，“这真是冻死人的鬼天气。	Anger
50	It was certainly a magnificent display.	Joy
51	然而春天一直没有来，夏季也一直不来。	Sadness
52	“不死亡回答说，“你不给我一粒玉米，我就是不走。”	Fear
53	年轻的国王眼里充满泪水，他在人们的窃窃私语中走过，那小侍从心下害怕,离开了他。	Fear
54	What a remarkable phenomenon, said the Professor of Ornithology as he was passing over the bridge.	Joy
55	巨人最爱那小男孩儿，因为小男孩儿亲吻过他。	Love
