sentence
快乐王子（2008） -
在高高的城市上空，一根顶天立地的柱子上站立着快乐王子的塑像。 -
他浑身贴满了一片片赤金叶子，眼睛含着两颗晶莹的蓝宝石，佩剑的剑柄上镶嵌了一颗大红宝石，闪闪发光。 -
“看看人家快乐王子从 来不为小事哭闹。” -
“这世上有人活得很幸福，我深感欣 慰哪。”一个失望的人打量着这尊奇妙的 塑像，喃喃自语道。 -
“他看上去简直就是一个天使。”一群孤儿院的孩子说，他们身穿鲜亮的大红斗篷，系着洁白的围嘴，正从大教堂往外走。 -
他是在春天早些时候遇见她的，当时他追着一只大黄蛾子飞到了河边，一下就被她那纤纤细腰迷住了,忍不住停下来和她搭话。 -
小燕子于是围着芦苇飞啊，飞啊，用翅膀轻轻触动水面，激起一圈圈银色的涟漪。 -
这就是他的求婚活动，整整持续了一个夏天。 -
“这真是一场可笑的恋爱别的燕子都叽叽喳喳地说，“瞧那芦苇不趁钱,亲戚倒有一大群。”这倒是实情，河里到处长满了芦苇。 -
一点没错，只要起风了，芦苇就风情万种地行屈膝礼。 -
“我就住那儿去吧。”他叫道，“那是个好去处，新鲜空气有的是。” -
于是，他就落在了快乐王子的两脚之间。 -
“我这下住进黄金屋了。”他四下打量一番，悄悄跟自己说，然后准备睡觉；可是他正要把脑袋伸进翅膀下时，一大滴水落在了他的身上。 -
“我是快乐王子。” -
白天我和我的小伙伴儿在花园里玩耍，晩上我在大厅里领头跳舞。 -
花园周围修筑了很高很高的墙，可是我对高墙外是什么景象漠不关心，我身边的一切都非常美妙，无可挑剔啊。 -
我的臣子都叫我“快乐王子”，而且我也的确很幸福，如果开心就是幸福的话。 -
燕子自己思忖道，“他可真是彬彬有礼，连说说个人意见都细声软语的。” -
她在往一件缎子外衣上绣西番莲，让女王最可爱的宫女穿上参加下一次宫廷舞会呢。 -
“我的朋友正在尼罗河上飞来飞去,跟大荷花说话呢。 -
于是，燕子啄起王子剑柄上的那颗大红宝石，用嘴衔着飞过了城市屋顶的上空。 -
他飞过白色的大理石上刻满天使的大教堂塔楼； -
他飞过了宫殿上空，听见了舞会的声音。 -
一个美丽的姑娘和她的情人儿来到外面的阳台上。 -
他飞过河的上空，看见灯笼挂在船的桅杆上。 -
他一蹦一跳进去，把嘴里的大红宝石放在了那个女人的顶针旁边。 -
然后他轻轻地绕着床飞,用翅膀往小男孩儿的脑门儿上扇风。 -
“我觉得好凉快，”男孩子说，“我一定好多了。”他很快进入了香甜的梦乡。 -
后来，燕子飞回到了快乐王子身边，跟快乐王子讲了他做过的事。 -
“真是奇怪，”他说，“天气虽然这么冷，我现在却觉得身上热乎乎的。” -
“这是因为你干了一件好事啊。”王子说。 -
天色大亮时，他飞到河边洗了一个澡。 -
“今天夜里我要飞往埃及。”燕子说，为飞走一事兴奋不已。 -
他飞遍了公共场合所有的古迹，在教堂陡直的屋顶上呆了很长时间。 -
月亮升上天空时，他飞回到快乐王子身边。 -
他整夜遥望星星,晨星亮起时他就高兴得叫唤一声，然后就悄无声息了。 -
他们的眼睛都像绿宝石，他们的吼叫声比大瀑布的呼啸还响亮呢。 -
它们是用珍贵的蓝宝石做的，是一千年前从印度买来的蓝宝石呢。 -
快啄一颗出来给他送去吧。 -
他可以把蓝宝石卖给珠宝商，买回些食物和柴火，把他的剧本写完了。” -
燕子很容易就进去了。 -
那个年轻人两手把头抱得紧紧的,一点没有听见燕子扑棱翅膀的声音，他抬头看时才发现那颗美丽的蓝宝石放在那些枯萎的紫罗兰上面。 -
“有人开始赏识我了，”他惊叫道,“这一定是某个了不起的崇拜者送来的。 -
这下我能写完我的剧本了。”他看上去相当幸福。 -
第二天，燕子飞到了海港。 -
他落在一只大船的桅杆上，看着水手们用绳子从货舱往外拽大箱子。 -
“嗨哟嗨哟！ ”他们每拽出一只箱子就喊一声。 -
可在埃及，太阳把绿色的棕桐树照得热乎乎的，鳄鱼躲在泥里懒洋洋地打量棕梱树。 -
我的伙伴在太阳神殿里筑窝呢，粉鸽子和白鸽子在一旁看着他们，互相咕咕叫个不停。 -
红宝石会比红玫瑰还红，蓝宝石会比大海还蓝。” -
“在广场那边，”快乐王子说，“站着一个卖火柴的小姑娘。 -
他飞过卖火柴的小女孩儿身旁，他把蓝宝石放在了她的手掌上。 -
“多么可爱的一小块玻璃啊！”小姑娘惊叫道；随后她一路笑着跑回家去了。 -
